SucursalId,NombreSucursal,Direccion,LocalidadId,ProvinciaId,CodigoPostal,EstadoSucursalId,Email,Telefono,FechaApertura,Latitud,Longitud,CreatedAt,UpdatedAt,IsDeleted
1,Sucursal SAN-0001,Calle 5377,21,3,3430,2,sucursal1@empresa.local,+54 167 232321,2024-03-16,-45.199488,-60.338466,2024-03-16,2024-06-06,0
2,Sucursal CÓR-0002,Calle 7533,14,2,9282,2,sucursal2@empresa.local,+54 719 551096,2025-06-27,-50.826289,-58.964412,2025-06-27,2025-11-24,0
3,Sucursal MEN-0003,Calle 7146,32,4,8398,1,sucursal3@empresa.local,+54 333 533914,2026-01-08,-43.154188,-63.930022,2026-01-08,2026-03-04,0
4,Sucursal CÓR-0004,Calle 4276,18,2,7132,1,sucursal4@empresa.local,+54 256 820184,2025-03-13,-24.464479,-71.657334,2025-03-13,2025-08-20,0
5,Sucursal SAN-0005,Calle 6205,89,18,3131,1,sucursal5@empresa.local,+54 669 162894,2024-04-08,-35.233117,-61.768272,2024-04-08,2026-05-10,0
6,Sucursal CÓR-0006,Calle 942,14,2,5712,1,sucursal6@empresa.local,+54 714 427626,2024-12-28,-42.747322,-61.44163,2024-12-28,2026-03-06,0
7,Sucursal BUE-0007,Calle 5836,9,1,7022,1,sucursal7@empresa.local,+54 217 899649,2024-08-17,-45.085817,-68.476818,2024-08-17,2024-12-05,0
8,Sucursal CÓR-0008,Calle 9221,18,2,1430,1,sucursal8@empresa.local,+54 723 789786,2026-02-24,-27.457255,-67.651045,2026-02-24,2026-06-08,0
9,Sucursal BUE-0009,Calle 5851,8,1,1100,1,sucursal9@empresa.local,+54 285 250210,2024-11-12,-35.877725,-64.984313,2024-11-12,2025-10-25,0
10,Sucursal BUE-0010,Calle 8791,6,1,4524,1,sucursal10@empresa.local,+54 485 540226,2024-02-01,-39.483335,-69.851814,2024-02-01,2024-05-04,0
11,Sucursal CÓR-0011,Calle 1491,13,2,1861,1,sucursal11@empresa.local,+54 259 265056,2025-08-04,-29.858052,-72.00475,2025-08-04,2026-06-05,0
12,Sucursal BUE-0012,Calle 7342,4,1,7785,1,sucursal12@empresa.local,+54 379 326040,2025-03-10,-29.841819,-70.72365,2025-03-10,2025-11-13,0
13,Sucursal CÓR-0013,Calle 8072,18,2,9633,1,sucursal13@empresa.local,+54 783 423401,2025-11-25,-52.546644,-65.094732,2025-11-25,2026-04-25,0
14,Sucursal MEN-0014,Calle 2348,28,4,5186,1,sucursal14@empresa.local,+54 396 444061,2024-11-04,-50.160501,-63.052293,2024-11-04,2025-06-08,0
15,Sucursal CÓR-0015,Calle 3870,18,2,9196,1,sucursal15@empresa.local,+54 672 973835,2025-06-29,-32.622459,-65.916657,2025-06-29,2026-06-24,0
16,Sucursal CÓR-0016,Calle 7632,17,2,2275,1,sucursal16@empresa.local,+54 982 428267,2025-03-22,-35.575707,-61.532006,2025-03-22,2025-03-31,0
17,Sucursal SAL-0017,Calle 441,46,7,6321,1,sucursal17@empresa.local,+54 275 940247,2024-04-27,-23.676342,-63.798062,2024-04-27,2025-06-15,0
18,Sucursal ENT-0018,Calle 1834,39,6,4986,1,sucursal18@empresa.local,+54 546 717476,2025-03-23,-41.185606,-71.427058,2025-03-23,2026-05-29,0
19,Sucursal SAN-0019,Calle 2854,103,22,2251,1,sucursal19@empresa.local,+54 622 763984,2024-08-14,-50.351148,-62.800959,2024-08-14,2025-07-21,0
20,Sucursal CAB-0020,Calle 2519,111,24,4871,1,sucursal20@empresa.local,+54 205 253557,2026-01-14,-45.809017,-69.53002,2026-01-14,2026-06-28,0
21,Sucursal BUE-0021,Calle 8195,7,1,8601,1,sucursal21@empresa.local,+54 872 691119,2024-03-18,-29.683931,-64.021895,2024-03-18,2024-09-15,0
22,Sucursal CAB-0022,Calle 5279,113,24,3473,1,sucursal22@empresa.local,+54 550 171603,2025-10-12,-38.994525,-60.372298,2025-10-12,2026-03-26,0
23,Sucursal NEU-0023,Calle 1315,77,15,6085,1,sucursal23@empresa.local,+54 572 573866,2024-12-26,-52.796568,-65.625248,2024-12-26,2026-05-29,0
24,Sucursal CÓR-0024,Calle 9833,12,2,9307,1,sucursal24@empresa.local,+54 493 585188,2026-05-25,-35.429459,-53.91537,2026-05-25,2026-05-30,0
25,Sucursal COR-0025,Calle 3184,56,10,6267,1,sucursal25@empresa.local,+54 719 598733,2026-04-09,-37.956246,-53.845553,2026-04-09,2026-06-21,0
26,Sucursal CÓR-0026,Calle 1481,19,2,9266,3,sucursal26@empresa.local,+54 761 280941,2026-05-07,-52.747452,-58.847566,2026-05-07,2026-05-28,0
27,Sucursal CAB-0027,Calle 6062,117,24,7108,1,sucursal27@empresa.local,+54 389 506235,2025-09-16,-40.919379,-66.232657,2025-09-16,2025-12-06,0
28,Sucursal SAN-0028,Calle 1179,27,3,6401,3,sucursal28@empresa.local,+54 196 685066,2025-10-24,-32.291861,-67.317061,2025-10-24,2026-01-17,0
29,Sucursal CHA-0029,Calle 5561,51,9,2335,1,sucursal29@empresa.local,+54 696 795847,2025-09-09,-49.474292,-66.003584,2025-09-09,2025-11-24,0
30,Sucursal CAB-0030,Calle 9849,115,24,2388,1,sucursal30@empresa.local,+54 417 686072,2025-02-05,-41.946262,-57.166761,2025-02-05,2025-04-12,0
31,Sucursal CHU-0031,Calle 7037,83,17,9331,1,sucursal31@empresa.local,+54 470 119116,2026-04-28,-42.396875,-69.394742,2026-04-28,2026-05-09,0
32,Sucursal BUE-0032,Calle 3811,9,1,3253,2,sucursal32@empresa.local,+54 258 180913,2025-05-12,-44.534653,-57.237597,2025-05-12,2025-08-18,0
33,Sucursal SAN-0033,Calle 5617,24,3,3147,1,sucursal33@empresa.local,+54 711 495019,2025-06-23,-49.063912,-69.383081,2025-06-23,2025-07-12,0
34,Sucursal ENT-0034,Calle 7270,40,6,1715,1,sucursal34@empresa.local,+54 520 481995,2024-06-18,-32.356386,-68.249396,2024-06-18,2026-06-26,0
35,Sucursal CÓR-0035,Calle 3933,19,2,9749,1,sucursal35@empresa.local,+54 344 424500,2026-02-05,-23.100908,-57.312595,2026-02-05,2026-05-30,0
36,Sucursal CAB-0036,Calle 7318,111,24,8564,1,sucursal36@empresa.local,+54 887 395459,2025-11-25,-29.100031,-62.941866,2025-11-25,2026-04-20,0
37,Sucursal CÓR-0037,Calle 2367,18,2,5096,1,sucursal37@empresa.local,+54 153 772324,2024-07-23,-38.621099,-65.575758,2024-07-23,2026-04-03,0
38,Sucursal CAB-0038,Calle 4770,113,24,2374,1,sucursal38@empresa.local,+54 881 268099,2025-06-12,-45.270678,-54.893876,2025-06-12,2025-08-14,0
39,Sucursal BUE-0039,Calle 5827,6,1,1436,1,sucursal39@empresa.local,+54 524 155843,2024-08-15,-41.313473,-65.52077,2024-08-15,2025-11-19,0
40,Sucursal CÓR-0040,Calle 5321,16,2,2623,1,sucursal40@empresa.local,+54 959 849421,2024-08-17,-33.201258,-57.172387,2024-08-17,2024-09-14,0
41,Sucursal BUE-0041,Calle 2373,6,1,8685,1,sucursal41@empresa.local,+54 559 745239,2026-04-29,-53.831962,-71.415485,2026-04-29,2026-05-29,0
42,Sucursal CÓR-0042,Calle 8747,11,2,7934,3,sucursal42@empresa.local,+54 213 913875,2025-07-15,-44.78075,-66.976976,2025-07-15,2026-05-22,0
43,Sucursal BUE-0043,Calle 7589,2,1,2029,1,sucursal43@empresa.local,+54 213 977330,2026-03-23,-25.0353,-61.065219,2026-03-23,2026-06-10,0
44,Sucursal BUE-0044,Calle 4872,1,1,8032,1,sucursal44@empresa.local,+54 101 744674,2024-09-04,-42.709887,-61.586726,2024-09-04,2025-01-29,0
45,Sucursal BUE-0045,Calle 1208,8,1,9618,1,sucursal45@empresa.local,+54 657 631971,2025-06-20,-28.834805,-62.847548,2025-06-20,2025-12-21,0
46,Sucursal BUE-0046,Calle 6438,1,1,7116,3,sucursal46@empresa.local,+54 359 883618,2024-02-14,-53.480249,-57.2296,2024-02-14,2025-11-25,0
47,Sucursal CÓR-0047,Calle 9633,15,2,6447,1,sucursal47@empresa.local,+54 236 146489,2025-10-05,-42.726431,-66.229055,2025-10-05,2025-11-27,0
48,Sucursal MEN-0048,Calle 7940,31,4,3986,3,sucursal48@empresa.local,+54 930 241403,2025-12-02,-51.980783,-57.476192,2025-12-02,2026-03-30,0
49,Sucursal CÓR-0049,Calle 3368,20,2,1686,1,sucursal49@empresa.local,+54 423 425138,2024-02-14,-37.507725,-53.217546,2024-02-14,2026-05-04,0
50,Sucursal SAN-0050,Calle 4787,24,3,6848,1,sucursal50@empresa.local,+54 982 918771,2026-02-10,-52.470271,-59.885373,2026-02-10,2026-03-30,0
51,Sucursal CÓR-0051,Calle 6653,11,2,8204,3,sucursal51@empresa.local,+54 495 455505,2025-03-23,-22.840845,-63.075935,2025-03-23,2026-06-21,0
52,Sucursal SAN-0052,Calle 1453,22,3,7955,2,sucursal52@empresa.local,+54 180 551524,2025-06-15,-34.721494,-56.553174,2025-06-15,2025-10-29,0
53,Sucursal CÓR-0053,Calle 5121,13,2,8305,1,sucursal53@empresa.local,+54 717 852524,2025-11-07,-40.364286,-59.204704,2025-11-07,2026-01-21,0
54,Sucursal CÓR-0054,Calle 7226,15,2,5498,1,sucursal54@empresa.local,+54 754 929924,2026-06-09,-23.66706,-71.499177,2026-06-09,2026-06-20,0
55,Sucursal MEN-0055,Calle 2721,31,4,1510,1,sucursal55@empresa.local,+54 246 989894,2026-03-31,-34.557667,-57.373761,2026-03-31,2026-06-25,0
56,Sucursal BUE-0056,Calle 6101,2,1,6933,1,sucursal56@empresa.local,+54 492 694799,2026-03-08,-52.96367,-69.931237,2026-03-08,2026-05-29,0
57,Sucursal CÓR-0057,Calle 1359,19,2,3255,1,sucursal57@empresa.local,+54 642 484774,2025-03-30,-41.262911,-60.008785,2025-03-30,2026-04-24,0
58,Sucursal BUE-0058,Calle 8276,10,1,9482,1,sucursal58@empresa.local,+54 496 688956,2026-01-23,-50.231648,-57.50071,2026-01-23,2026-03-11,0
59,Sucursal SAL-0059,Calle 8147,44,7,4279,1,sucursal59@empresa.local,+54 225 242321,2025-09-18,-26.709559,-63.959146,2025-09-18,2026-02-11,0
60,Sucursal CAB-0060,Calle 5336,111,24,6692,1,sucursal60@empresa.local,+54 826 168093,2024-03-30,-36.400091,-67.192754,2024-03-30,2026-02-26,0
61,Sucursal CÓR-0061,Calle 2952,13,2,6922,1,sucursal61@empresa.local,+54 620 335134,2025-12-27,-50.116401,-68.980393,2025-12-27,2026-06-24,0
62,Sucursal BUE-0062,Calle 9177,6,1,7044,3,sucursal62@empresa.local,+54 578 942700,2024-01-27,-22.543617,-70.404575,2024-01-27,2025-01-30,0
63,Sucursal TIE-0063,Calle 7942,108,23,9612,1,sucursal63@empresa.local,+54 520 906527,2025-02-11,-40.898127,-61.50199,2025-02-11,2026-02-13,0
64,Sucursal BUE-0064,Calle 7732,5,1,9476,1,sucursal64@empresa.local,+54 452 234568,2024-03-16,-25.905275,-57.394741,2024-03-16,2025-06-19,0
65,Sucursal MEN-0065,Calle 8338,31,4,1907,1,sucursal65@empresa.local,+54 951 230192,2024-05-12,-37.420732,-66.917509,2024-05-12,2025-07-29,0
66,Sucursal BUE-0066,Calle 8601,7,1,5653,2,sucursal66@empresa.local,+54 966 182690,2024-08-18,-45.98063,-60.298858,2024-08-18,2025-08-07,0
67,Sucursal BUE-0067,Calle 8334,5,1,3762,1,sucursal67@empresa.local,+54 706 708851,2025-06-30,-49.065783,-59.825343,2025-06-30,2025-08-16,0
68,Sucursal MIS-0068,Calle 774,50,8,1464,1,sucursal68@empresa.local,+54 183 147670,2026-05-12,-23.646501,-57.579553,2026-05-12,2026-06-17,0
69,Sucursal CÓR-0069,Calle 596,11,2,9159,1,sucursal69@empresa.local,+54 742 672079,2025-08-08,-44.730507,-53.866997,2025-08-08,2026-03-09,0
70,Sucursal SAN-0070,Calle 4973,21,3,8430,3,sucursal70@empresa.local,+54 174 822063,2025-12-02,-52.082783,-64.20789,2025-12-02,2026-03-15,0
71,Sucursal SAN-0071,Calle 5221,21,3,6231,1,sucursal71@empresa.local,+54 851 462147,2025-09-13,-22.788028,-70.384677,2025-09-13,2025-11-25,0
72,Sucursal CÓR-0072,Calle 7742,16,2,3007,1,sucursal72@empresa.local,+54 373 571435,2024-11-22,-46.066596,-71.063767,2024-11-22,2025-07-27,0
73,Sucursal CÓR-0073,Calle 4167,12,2,3616,1,sucursal73@empresa.local,+54 933 443341,2025-09-22,-24.119951,-58.577431,2025-09-22,2026-04-24,0
74,Sucursal BUE-0074,Calle 8271,8,1,6055,1,sucursal74@empresa.local,+54 609 124302,2025-06-11,-51.118429,-65.135156,2025-06-11,2026-02-05,0
75,Sucursal CÓR-0075,Calle 897,20,2,1828,1,sucursal75@empresa.local,+54 388 618934,2025-08-20,-34.879399,-56.143007,2025-08-20,2026-02-16,0
76,Sucursal MEN-0076,Calle 1861,34,4,8060,1,sucursal76@empresa.local,+54 237 377319,2024-01-09,-30.719742,-57.722865,2024-01-09,2026-05-25,0
77,Sucursal CÓR-0077,Calle 3289,15,2,6939,1,sucursal77@empresa.local,+54 666 402620,2025-08-06,-51.646984,-62.914889,2025-08-06,2026-05-20,0
78,Sucursal SAN-0078,Calle 2208,65,12,2584,1,sucursal78@empresa.local,+54 503 491326,2025-09-30,-28.563289,-66.218294,2025-09-30,2025-11-29,0
79,Sucursal CAB-0079,Calle 8441,114,24,7576,1,sucursal79@empresa.local,+54 612 142210,2024-07-22,-52.550293,-70.259273,2024-07-22,2026-03-30,0
80,Sucursal CÓR-0080,Calle 8546,14,2,3290,1,sucursal80@empresa.local,+54 435 742848,2025-04-12,-43.807039,-65.140908,2025-04-12,2025-06-27,0
81,Sucursal MEN-0081,Calle 8411,29,4,9351,3,sucursal81@empresa.local,+54 645 613641,2025-08-30,-31.320326,-67.004189,2025-08-30,2026-02-18,0
82,Sucursal CHU-0082,Calle 6924,84,17,6040,1,sucursal82@empresa.local,+54 915 860557,2025-11-20,-26.092828,-60.41479,2025-11-20,2025-12-18,0
